Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,207.990005,208.190002,205.389999,205.539993,130333800,200.350987
2014-12-30,208.210007,208.369995,207.509995,207.600006,73540800,202.358993
2014-12-29,208.220001,208.970001,208.139999,208.720001,79643900,203.450713
2014-12-26,208.309998,208.850006,208.25,208.440002,57326700,203.177783
2014-12-24,208.020004,208.339996,207.720001,207.770004,42963400,202.5247
2014-12-23,208.169998,208.229996,207.399994,207.75,122167900,202.5052
2014-12-22,206.75,207.470001,206.460007,207.470001,148318900,202.23227
2014-12-19,206.429993,207.330002,205.610001,206.520004,245084600,201.306257
2014-12-18,204.740005,212.970001,203.919998,206.779999,257633900,200.453342
2014-12-17,198.440002,202.339996,198.289993,201.789993,253910100,195.616011
2014-12-16,198.580002,202.399994,197.860001,197.910004,259543800,191.854734
2014-12-15,201.979996,202.529999,198.779999,199.509995,189965800,193.405771
2014-12-12,202.639999,203.820007,200.850006,200.889999,202330200,194.743553
2014-12-11,203.880005,206.190002,203.710007,204.190002,159012800,197.942589
2014-12-10,205.910004,205.979996,202.929993,203.160004,159856400,196.944104
2014-12-09,204.369995,206.600006,203.910004,206.470001,125180100,200.152829
2014-12-08,207.520004,208.119995,205.929993,206.610001,108588200,200.288545
2014-12-05,207.869995,208.470001,207.550003,208.00,91025500,201.636016
2014-12-04,207.539993,208.270004,206.699997,207.660004,91316600,201.306422
2014-12-03,207.300003,208.149994,207.100006,207.889999,68952000,201.529381
2014-12-02,205.809998,207.339996,205.779999,207.089996,74507200,200.753855
2014-12-01,206.399994,206.539993,205.380005,205.759995,103968400,199.464546
2014-11-28,207.490005,207.869995,206.910004,207.199997,57890100,200.86049
2014-11-26,207.289993,207.759995,207.029999,207.639999,62167800,201.28703
2014-11-25,207.539993,207.789993,206.800003,207.110001,79108300,200.773247
2014-11-24,207.169998,207.389999,206.910004,207.259995,65881000,200.918652
2014-11-21,207.639999,207.839996,205.979996,206.679993,142327300,200.356396
2014-11-20,204.259995,205.710007,204.179993,205.580002,72840300,199.29006
2014-11-19,205.309998,205.550003,204.300003,205.220001,82373000,198.941074
2014-11-18,204.440002,205.919998,204.440002,205.550003,76068000,199.260979
2014-11-17,203.850006,204.580002,203.649994,204.369995,80441000,198.117075
2014-11-14,204.100006,204.490005,203.720001,204.240005,80417500,197.991062
2014-11-13,204.160004,204.830002,203.210007,204.190002,85358000,197.942589
2014-11-12,203.350006,204.240005,203.309998,203.960007,90120300,197.719631
2014-11-11,204.059998,204.309998,203.649994,204.179993,54499400,197.932886
2014-11-10,203.380005,204.039993,203.130005,203.979996,66319000,197.739008
2014-11-07,203.169998,203.600006,202.610001,203.339996,89540000,197.11859
2014-11-06,202.389999,203.259995,201.639999,203.149994,107089000,196.934401
2014-11-05,202.539993,202.589996,201.449997,202.339996,91709000,196.149186
2014-11-04,201.229996,201.600006,200.059998,201.070007,93343000,194.918054
2014-11-03,201.919998,202.449997,201.309998,201.770004,93600000,195.596634
2014-10-31,201.779999,201.820007,200.770004,201.660004,146903000,195.489999
2014-10-30,197.580002,199.949997,197.399994,199.380005,113330000,193.279759
2014-10-29,198.550003,199.119995,196.800003,198.110001,142557000,192.048612
2014-10-28,196.820007,198.419998,196.729996,198.410004,106736000,192.339436
2014-10-27,195.729996,196.449997,195.029999,196.160004,82954000,190.158277
2014-10-24,195.25,196.490005,194.490005,196.429993,117927000,190.420005
2014-10-23,194.619995,196.199997,194.259995,194.929993,154944000,188.9659
2014-10-22,194.410004,194.910004,192.610001,192.690002,151822000,186.794444
