Date,Open,High,Low,Close,Volume,Adj Close
2010-11-29,118.50,119.480003,117.739998,119.160004,223642300,106.443408
2010-11-26,119.160004,119.809998,118.800003,118.800003,76007800,106.121826
2010-11-24,119.199997,120.230003,119.18,120.199997,140046100,107.372414
2010-11-23,118.769997,119.019997,117.989998,118.449997,222309000,105.809172
2010-11-22,119.690002,120.239998,118.769997,120.190002,181361000,107.363487
2010-11-19,119.900002,120.339996,119.25,120.290001,156852900,107.452813
2010-11-18,119.360001,120.389999,119.349998,119.959999,197723700,107.158029
2010-11-17,118.209999,118.709999,117.860001,118.220001,172308900,105.603721
2010-11-16,119.290001,119.489998,117.589996,118.160004,299566200,105.550126
2010-11-15,120.580002,121.050003,119.980003,120.029999,163940800,107.220558
2010-11-12,120.82,121.349998,119.650002,120.199997,239068800,107.372414
2010-11-11,121.050003,121.82,120.68,121.639999,158017600,108.658742
2010-11-10,121.580002,122.160004,120.660004,122.099998,221387400,109.06965
2010-11-09,122.82,122.949997,121.120003,121.610001,186621600,108.631944
2010-11-08,122.339996,122.690002,121.940002,122.489998,156107100,109.41803
2010-11-05,122.339996,122.919998,122.18,122.720001,180654100,109.623487
2010-11-04,121.279999,122.32,119.970001,122.260002,215039400,109.212579
2010-11-03,119.68,120.019997,118.449997,119.949997,226702800,107.149094
2010-11-02,119.419998,119.75,119.099998,119.470001,158345900,106.720323
2010-11-01,119.07,119.75,117.849998,118.529999,174074800,105.880636
2010-10-29,118.279999,118.720001,118.07,118.489998,144305500,105.844904
2010-10-28,119.059998,119.110001,117.830002,118.400002,168576000,105.764512
2010-10-27,117.889999,118.510002,117.260002,118.379997,190024000,105.746643
2010-10-26,118.099998,118.839996,117.870003,118.720001,158982900,106.050362
2010-10-25,119.139999,119.760002,118.610001,118.699997,151145700,106.032492
2010-10-22,118.309998,118.529999,118.00,118.349998,108212400,105.719845
2010-10-21,118.400002,119.089996,117.209999,118.129997,221585500,105.523322
2010-10-20,116.940002,118.440002,116.870003,117.870003,200051800,105.291074
2010-10-19,117.190002,117.849998,116.019997,116.730003,280604700,104.272734
2010-10-18,117.739998,118.669998,117.309998,118.279999,141204800,105.657316
2010-10-15,118.279999,118.349998,116.760002,117.699997,243705000,105.139211
2010-10-14,117.809998,118.010002,116.720001,117.459999,217764300,104.924825
2010-10-13,117.660004,118.550003,117.379997,117.919998,194347200,105.335734
2010-10-12,116.269997,117.349998,115.650002,117.010002,182210000,104.522852
2010-10-11,116.720001,116.970001,116.25,116.650002,103098300,104.20127
2010-10-08,116.050003,116.860001,115.610001,116.540001,177760100,104.103008
2010-10-07,116.50,116.529999,115.190002,115.889999,164860000,103.522374
2010-10-06,116.019997,116.330002,115.559998,116.029999,148626600,103.647433
2010-10-05,114.800003,116.32,114.669998,116.040001,229634100,103.656368
2010-10-04,114.370003,114.849998,113.18,113.75,166153200,101.610752
2010-10-01,114.989998,115.120003,113.93,114.610001,174638700,102.378975
2010-09-30,115.050003,115.790001,113.589996,114.129997,287106700,101.950197
2010-09-29,114.379997,114.910004,114.019997,114.470001,179665800,102.253916
2010-09-28,114.419998,115.040001,113.18,114.669998,209207500,102.43257
2010-09-27,114.860001,114.989998,114.160004,114.269997,128761800,102.075256
2010-09-24,113.75,114.900002,113.650002,114.82,209671800,102.566563
2010-09-23,112.489998,113.669998,112.18,112.50,202354300,100.494151
2010-09-22,113.800003,114.440002,113.099998,113.419998,191322400,101.315968
2010-09-21,114.300003,114.839996,113.510002,113.980003,268389100,101.81621
2010-09-20,112.879997,114.459999,112.519997,114.209999,214555200,102.021661
2010-09-17,113.040001,113.150002,112.18,112.489998,195836900,100.485216
2010-09-16,112.730003,113.120003,112.349998,113.050003,199962900,100.447701
2010-09-15,112.32,113.209999,111.980003,113.080002,168608400,100.474356
2010-09-14,112.50,113.290001,112.080002,112.650002,209823600,100.09229
2010-09-13,112.580002,112.949997,112.129997,112.720001,178503500,100.154486
2010-09-10,111.120003,111.610001,110.870003,111.480003,127819000,99.052718
2010-09-09,111.650002,111.68,110.620003,110.919998,147017900,98.555139
2010-09-08,109.860001,110.849998,109.809998,110.410004,149924400,98.101997
2010-09-07,110.370003,110.510002,109.550003,109.639999,141973700,97.417829
2010-09-03,110.540001,110.989998,109.949997,110.889999,212197300,98.528485
2010-09-02,108.720001,109.489998,108.489998,109.470001,156112200,97.266782
2010-09-01,106.730003,108.610001,106.660004,108.459999,256828100,96.36937
2010-08-31,104.919998,105.980003,104.489998,105.309998,273933100,93.570516
2010-08-30,106.580002,106.910004,105.300003,105.309998,167238600,93.570516
